soubor,spisovka,datum,soud,reference
0100_2Afs_1600029_20161206091019_prevedeno.txt,2 Afs 100/2016-29,2016-11-22,SupAdmCo,29 Cdo 2379/2010
0100_2Afs_1600029_20161206091019_prevedeno.txt,2 Afs 100/2016-29,2016-11-22,SupAdmCo,21 Cdo 2831/2015
0112_5Afs_0600041A_prevedeno.txt,5 Afs 112/2006-41,2007-03-29,SupAdmCo,21 Cdo 1949/99
0137_6Ads_12_20131219150313_prevedeno.txt,6 Ads 137/2012-41,2013-11-27,SupAdmCo,21 Cdo 5447/2007
0137_6Ads_12_20131219150313_prevedeno.txt,6 Ads 137/2012-41,2013-11-27,SupAdmCo,21 Cdo 3488/2006
000813Kss_1700170_20180806142952_20180808110035_prevedeno.txt, 13 Kss 8/2017-170,2018-06-20,SupAdmCo,22 Cdo 2492/2005
0049_3Ads_1600039_20170529095129_prevedeno.txt,3 Ads 49/2016-39,2017-05-24,SupAdmCo,26 Cdo 5105/2015
0054_6As__1700029_20180313150644_20180314214015_prevedeno.txt,6 As 54/2017-29,2018-02-28,SupAdmCo,5 Tdo 209/2011
0213_9As__1600060_20171004161808_prevedeno.txt,9 As 213/2016-60,2017-11-03,SupAdmCo,6 Tdo 499/2014
0213_9As__1600060_20171004161808_prevedeno.txt,9 As 213/2016-60,2017-11-03,SupAdmCo,8 Tdo 972/2016
0058_3As__1600045_20170124090919_prevedeno.txt,3 As 58/2016-45,2017-01-11,SupAdmCo,8 Tdo 109/2014
0343_1As__1700045_20180322120625_20180326170015_prevedeno.txt,1 As 343/2017-45,2018-02-28,SupAdmCo,28 Cdo 2680/2017
001113Kss_100_20110607021308_prevedeno.txt,13 Kss 11/2010-51,2011-05-10,SupAdmCo,Tpjn 302/2010
0117_6Afs_1600027_20161123093546_prevedeno.txt,6 Afs 117/2016-27,2016-11-15,SupAdmCo,29 Cdo 17/2012
0002_0Konf0900022A_prevedeno.txt,Konf 2/2009-22,2009-09-22,SupAdmCo,25 Cdo 574/2009
0001_1As__0700104A_prevedeno.txt,1 As 1/2007-104,2007-07-25,SupAdmCo,22 Cdo 572/2003
0082_6Ads_1000212A_prevedeno.txt,6 Ads 82/2010-212,2010-09-22,SupAdmCo,21 Cdo 293/2009
0295_5As__1600045_20180213083942_20180214204022_prevedeno.txt,5 As 295/2016-45,2018-01-31,SupAdmCo,6 Tdo 1062/2015
0046_4Ads_0600226A_prevedeno.txt,4 Ads 46/2006-226,2007-12-28,SupAdmCo,30 Cdo 947/98
0137_9Afs_1300013_prevedeno.txt,5 Afs 112/2006-41,2007-03-29,SupAdmCo,21 Cdo 1949/99
000111Kss_1500085_20150727081811_prevedeno.txt,11 Kss 1/2015-85,2015-06-25,SupAdmCo,3 Tz 58/2014
0016_1As__0900115A_prevedeno.txt,1 As 16/2009-115,2009-05-20,SupAdmCo,22 Cdo 572/2003
0025_9As__1500052_20160719073736_prevedeno.txt,9 As 25/2015-52,2016-07-14,SupAdmCo,23 Cdo 318/2009
0010_0Konf110_20110823123725_prevedeno.txt,Konf 10/2011-7,2011-07-27,SupAdmCo,22 Cdo 1364/2010
0010_0Konf110_20110823123725_prevedeno.txt,Konf 10/2011-7,2011-07-27,SupAdmCo,22 Cdo 572/2003
0066_1Afs_14_20140820083804_prevedeno.txt,1 Afs 66/2014-55,2014-08-13,SupAdmCo,20 Cdo 2157/2011
0131_6As__1300136_20161122095626_prevedeno.txt,6 As 131/2013-136,2016-11-01,SupAdmCo,22 Cdo 3158/2009
0125_3As__13_20140306121935_prevedeno.txt,3 As 125/2013-11,2014-03-05,SupAdmCo,23 Cdo 349/10
0125_3As__13_20140306121935_prevedeno.txt,3 As 125/2013-11,2014-03-05,SupAdmCo,23 Cdo 595/09
0222_1As__1700045_20180327151720_20180328112018_prevedeno.txt,1 As 222/2017-45,2018-02-28,SupAdmCo,22 Cdo 5330/2015
0308_0Na__1400009_20140930121258_prevedeno.txt,Na 308/2014-9,2014-09-23,SupAdmCo,22 Cdo 4392/2013
0016_6As__14_20140703131018_prevedeno.txt,6 As 16/2014-35,2014-06-25,SupAdmCo,20 Cdo 1243/2004
002510As__1400001_prevedeno.txt,4 As 28/2011-58,2011-12-01,SupAdmCo,22 Cdo 721/2002
0116_0Konf0900_34cf74ca_61b9_4631_acc0_bf71b76b9de1_prevedeno.txt,Konf 116/2009-57,2010-01-27,SupAdmCo,25 Cdo 2715/2009
0001_4Azs_130_20130521093636_prevedeno.txt,4 Azs 1 /2013-34,2013-04-26,SupAdmCo,11 Tcu 25/2012
0037_4As__1200_20121010035506_prevedeno.txt,4 As 37/2012-39,2012-09-20,SupAdmCo,28 Cdo 4410/2010
0010_0Konf1500011_20160331135308_prevedeno.txt,Konf 10/2015-11,2016-02-25,SupAdmCo,23 Cdo 318/2009
021010As__1600066_20180724131831_20180724140014_prevedeno.txt,10 As 210/2016-66,2018-06-28,SupAdmCo,30 Cdo 2715/2013
000511Kseo090_20120206090919_prevedeno.txt,11 Kseo 5/2009-99,2012-01-26,SupAdmCo,25 Cdo 2813/2006
0044_0Konf1000_938dee91_63a0_476c_a24d_87d97f5cbdce_prevedeno.txt,Konf 44/2010-14,2010-08-05,SupAdmCo,33 Cdo 3519/2007
0005_7As__0700043A_prevedeno.txt,7 As 5/2007-43,2007-08-23,SupAdmCo,30 Cdo 1520/2005
0011_1Afs_13_20130918142200_prevedeno.txt,1 Afs 11/2013-84,2013-08-22,SupAdmCo,32 Cdo 2801/2007
0104_5As__1300032_20150908150032_prevedeno.txt,5 As 104/2013-32,2015-09-08,SupAdmCo,5 Tdo 490/2008
0046_1As__0700150A_prevedeno.txt,1 As 46/2007-150,2008-05-14,SupAdmCo,22 Cdo 572/2003
0067_1As__100_20101111083313_prevedeno.txt,1 As 67/2010-97,2010-11-14,SupAdmCo,22 Cdo 1806/2006
0095_4As__140_20140908151724_prevedeno.txt,4 As 95/2014-40,2014-08-21,SupAdmCo,6 Tdo 84/2013
0063_0Konf110_20111129085343_prevedeno.txt,Konf 63/2011-5,2011-11-09,SupAdmCo,22 Cdo 3125/2008
0162_1Afs_1500050_20151123132211_prevedeno.txt,1 Afs 162/2015-50,2015-11-05,SupAdmCo,29 Cdo 1599/2008
0104_5Afs_1600031_20180807154047_20180808112016_prevedeno.txt,5 Afs 104/2016-31,2018-07-17,SupAdmCo,15 Tdo 832/2016
0003_4Aps_1000_20110412035038_prevedeno.txt,4 Aps 3/2010-354,2011-03-23,SupAdmCo,22 Cdo 1305/2004
0002_3Ads_0300112A_prevedeno.txt,3 Ads 2/2003-112,2005-11-26,SupAdmCo,30 Cdo 120/98
0204_1As__1500033_20160216125602_prevedeno.txt,1 As 204/2015-33,2016-02-10,SupAdmCo,Tdo 347/2012
000815Kse_120_20130429150843_prevedeno.txt,15 Kse 8/2012-118,2013-04-09,SupAdmCo,20 Cdo 316/2009
