soubor,spisovka,datum,soud,reference,soubor2,datum2,soud2
rozhodnuti-22_Cdo_45_2013.txt,22 Cdo 45/2013,2015-03-25,SupCo,5 Afs 24/2008-63,0024_5Afs_0800063A_prevedeno.txt,2008-09-25,SupAdmCo
rozhodnuti-29_Cdo_1738_2015.txt,29 Cdo 1738/2015,2017-03-30,SupCo,2 Afs 58/2011,0058_2Afs_110_20120201111405_prevedeno.txt,2012-01-30,SupAdmCo
rozhodnuti-28_Cdo_1707_2018.txt,28 Cdo 1707/2018,2018-07-16,SupCo,5 As 62/2008,0062_5As__0800059A_prevedeno.txt,2009-09-11,SupAdmCo
rozhodnuti-22_Cdo_3831_2013.txt,22 Cdo 3831/2013,2014-04-09,SupCo,1 As 23/2009-103,0023_1As__0900103A_prevedeno.txt,2010-09-09,SupAdmCo
rozhodnuti-28_Cdo_4175_2013.txt,28 Cdo 4175/2013,2015-02-04,SupCo,3 Ao 9/2011-219,0009_3Ao__1100219A_prevedeno.txt,2013-06-11,SupAdmCo
rozhodnuti-28_Cdo_1676_2016.txt,28 Cdo 1676/2016,2016-11-16,SupCo,1 As 47/2011,0047_1As__110_20110628090217_prevedeno.txt,2011-05-31,SupAdmCo
rozhodnuti-26_Nd_211_2006.txt,26 Nd 211/2006,2007-02-15,SupCo,Konf 16/2006-37,001611Konf0600037A_prevedeno.txt,2006-09-29,SupAdmCo
rozhodnuti-28_Cdo_907_2018.txt,28 Cdo 907/2018,2018-09-04,SupCo,10 Afs 155/2015-29,015510Afs_1500029_20160418132341_prevedeno.txt,2016-03-24,SupAdmCo
rozhodnuti-Tpjn_302_2010.txt,Tpjn 302/2010,2010-10-27,SupCo,2 As 19/2009,0019_2As__0900_629e2db5_5274_4776_95b8_f3e2f3c0afed_prevedeno.txt,2009-12-10,SupAdmCo
rozhodnuti-Tpjn_302_2010.txt,Tpjn 302/2010,2010-10-27,SupCo,9 As 96/2008,0096_9As__0800044A_prevedeno.txt,2009-08-06,SupAdmCo
rozhodnuti-Tpjn_302_2010.txt,Tpjn 302/2010,2010-10-27,SupCo,5 As 26/2010,0026_5As__1000_d23a7441_d83c_4979_b038_b2614eaffcbe_prevedeno.txt,2010-07-15,SupAdmCo
rozhodnuti-Tpjn_302_2010.txt,Tpjn 302/2010,2010-10-27,SupCo,2 Ans 5/2005,0005_2Ans_0500048A_prevedeno.txt,2006-01-05,SupAdmCo
rozhodnuti-Tpjn_302_2010.txt,Tpjn 302/2010,2010-10-27,SupCo,1 As 1/2005,0001_1As__0500058A_prevedeno.txt,2006-01-05,SupAdmCo
rozhodnuti-Tpjn_302_2010.txt,Tpjn 302/2010,2010-10-27,SupCo,2 As 38/2004,0038_2As__0400055A_prevedeno.txt,2005-02-10,SupAdmCo
